Alter;Beruf;Familienstand;Ausbildung;Ausgefallen;Kontostand;Eigentum;Darlehen;Dauer;Label
31;Freiberufler;verheiratet;Allgemeine Hochschulreife;0;162;1;1;0;1
28;Beamter;verheiratet;Allgemeine Hochschulreife;0;1595;0;0;1;0
39;Techniker;geschieden;Allgemeine Hochschulreife;0;17441;1;1;1;1
54;Arbeitslos;geschieden;Allgemeine Hochschulreife;0;925;0;0;2;0
24;Techniker;ledig;Allgemeine Hochschulreife;0;-156;1;0;4;0
27;Techniker;ledig;Allgemeine Hochschulreife;0;-69;0;0;4;0
40;unbekannt;ledig;Hochschulabschluss;0;15;0;1;4;0
30;Servicekraft;ledig;Hochschulabschluss;0;21;0;0;4;0
23;Student;ledig;Allgemeine Hochschulreife;0;43;0;0;4;0
27;Arbeitslos;ledig;Mittlere Reife;0;93;0;0;4;0
35;Angestellter;geschieden;unbekannt;0;172;0;0;4;0
44;Arbeitslos;verheiratet;Allgemeine Hochschulreife;0;317;1;1;4;0
27;Beamter;ledig;Allgemeine Hochschulreife;0;321;0;1;4;0
22;Servicekraft;ledig;unbekannt;0;739;0;0;4;0
35;unbekannt;ledig;Hochschulabschluss;0;1120;0;0;4;0
31;Servicekraft;ledig;Allgemeine Hochschulreife;1;-248;0;0;5;0
21;Angestellter;ledig;Mittlere Reife;0;-42;0;0;5;0
45;unbekannt;geschieden;Hochschulabschluss;0;0;0;0;5;0
34;unbekannt;geschieden;Hochschulabschluss;0;70;1;0;5;0
27;Techniker;ledig;Allgemeine Hochschulreife;0;78;1;1;5;0
30;Angestellter;verheiratet;Mittlere Reife;0;124;1;0;5;0
35;Angestellter;verheiratet;Allgemeine Hochschulreife;0;137;0;1;5;0
41;Angestellter;verheiratet;Mittlere Reife;0;178;1;0;5;0
22;Student;ledig;Allgemeine Hochschulreife;0;224;0;0;5;0
27;Servicekraft;ledig;Allgemeine Hochschulreife;0;230;0;0;5;0
36;unbekannt;ledig;Hochschulabschluss;0;335;0;0;5;0
31;Techniker;verheiratet;Allgemeine Hochschulreife;0;439;0;0;5;0
39;Servicekraft;ledig;Allgemeine Hochschulreife;0;471;0;0;5;0
21;Techniker;ledig;Allgemeine Hochschulreife;0;519;0;0;5;0
31;unbekannt;ledig;Hochschulabschluss;0;528;0;1;5;0
58;Rentner;verheiratet;Mittlere Reife;0;742;0;0;5;0
38;Techniker;ledig;Hochschulabschluss;0;876;1;0;5;0
56;Angestellter;verheiratet;Mittlere Reife;0;1014;0;0;5;0
25;unbekannt;ledig;Hochschulabschluss;0;1650;1;0;5;0
36;Arbeitslos;verheiratet;Mittlere Reife;0;2347;1;0;5;0
33;Servicekraft;verheiratet;Allgemeine Hochschulreife;0;2368;0;0;5;0
35;Beamter;verheiratet;Allgemeine Hochschulreife;0;2374;1;0;5;0
